new_stu_id,original_stu_id
stu_YBCKR72419,stu_SIWRL23181
stu_VTPQX37546,stu_NWVEW24693
stu_QZNXO72410,stu_NWRRN03456
stu_YFOWZ18594,stu_HVWUJ52450
stu_JBRKJ41556,stu_GCHCS91000
stu_SZGAO13535,stu_WGOKZ02467
stu_YVCVQ80620,stu_RDPGG44681
stu_GXTZV95534,stu_QHOON52054
stu_PROUZ21571,stu_PSHZT50501
stu_NLXGJ57944,stu_TSQUQ54202
stu_ESMTX50691,stu_DKGHS98193
stu_KQVGK65087,stu_FASQN45304
stu_RZGHG65146,stu_EQSJM78476
stu_XIMGN59405,stu_NYHDW07721
stu_IWVRO00655,stu_WAWDW95831
stu_GTIGQ79208,stu_KOIIB68446
stu_VPQTA80795,stu_VTRUH97046
stu_MTTLM06252,stu_XHGVP79664
stu_AWGOR50648,stu_PXDPN73068
stu_QSQRU95145,stu_WQGUY90279
stu_GEGRC14521,stu_LTSJK02079
stu_GFYNX97609,stu_QQAHK93946
stu_YPVVG14379,stu_TFTDG28078
stu_UDUQT42319,stu_FPTDO32773
stu_OIGKW33410,stu_VQFBG95862
stu_XEFLF05298,stu_SQLXP95993
stu_NUZSI59572,stu_FVHVM49769
stu_LCJWY74265,stu_ZUARE93356
stu_AKIEF92805,stu_QQMSX84242
stu_HNABT27315,stu_NKHRJ04957
stu_RHCYB61396,stu_MTCIM85775
stu_BYGHT94102,stu_ANQAT24428
stu_ICMMT03615,stu_WHBZD81732
stu_PPVTN01867,stu_TYPZX10676
stu_QATAB29282,stu_WCANG48942
stu_GMSSJ09421,stu_NZWIU92234
stu_UJKSS59494,stu_CWJCN88700
stu_XLKHQ04919,stu_CTAZU65504
stu_SOHMY85049,stu_JUQPD47363
stu_WABVG90303,stu_UYFTQ45542
stu_NZVMI05303,stu_SBUBU63586
stu_NRJWE17964,stu_EHXGF51692
stu_VHNHL97471,stu_YPZIM54297
stu_RGCUK14418,stu_ZARRQ26344
stu_VVKPX54196,stu_ANAWT41929
stu_XWXMZ26546,stu_ERQCY81201
stu_HHUGU01469,stu_ECYEC76336
stu_QCXSU40424,stu_RUBQU39803
stu_SPCOM23075,stu_CNIXS57234
stu_HIEUW26395,stu_TRKWP48352
stu_FDPIH10311,stu_FBOFA96484
stu_DVKPL39521,stu_MIJEQ06664
stu_OSMHP28184,stu_EUIXK95276
stu_JJVDW92114,stu_FHADA27602
stu_PUUMA77682,stu_BCRYB29652
stu_YBCMB97443,stu_LDUML32113
stu_OSHPZ41028,stu_OFWAG94272
stu_ZKZEL36218,stu_IGWBR81023
stu_TJCIL19462,stu_WEADW20158
stu_NJGEO67521,stu_PSHPN85751
stu_NYHYX93445,stu_FQEST23326
stu_XRERX54313,stu_XCKNQ66212
stu_FQQNR52364,stu_FBWGP41232
stu_TSYEZ48772,stu_WYTLH51489
stu_ALZRB90338,stu_BESSB35006
stu_FFFVY00857,stu_EUWJA76858
stu_OJKGW31998,stu_HXXCS05602
stu_TLKMV89995,stu_EHYTZ32137
stu_QHRQV32767,stu_OIYXZ27717
stu_QZISM31161,stu_KCRZD23226
stu_RLKZK17859,stu_NIYYA71798
stu_BQIRI10874,stu_VFKRH03938
stu_TSXKL78391,stu_CDXSC86692
